CODEDEP;Libellé de la commune;LUG;LUD;LFN;Premier
38;Villefontaine;20,68;12,22;12,17;LUG
38;Villemoirieu;15,91;26,26;18,34;LUD
38;Villeneuve-de-Marc;16,63;20,05;22;LFN
38;Ville-sous-Anjou;17,7;19,13;20,22;LFN
38;Villette-d'Anthon;12,91;23,36;20,56;LUD
38;Villette-de-Vienne;20,14;23,81;19,07;LUD
38;Vinay;17,51;20,98;16,58;LUD
38;Virieu;22,44;16,4;14,96;LUG
38;Viriville;17,55;18,71;16,47;LUD
38;Vizille;22,21;12,88;15,34;LUG
38;Voiron;22,1;21,85;9,63;LUG
38;Voissant;15,76;22,28;14,67;LUD
38;Voreppe;26,11;23,36;12,39;LUG
38;Vourey;26,02;20,31;12,08;LUG
38;Chamrousse;19,06;29,55;13,7;LUD
