Ancien nom;"Inscrits	";Emarg鳉;"Procurations	";"Votants	";"Blancs	";"Nuls	";Exprim鳉;BOUDOT;WAUQUIEZ;QUEYRANNE;%fn;Nom Bureau;%_nb;% real;%real
 3042 - TAILLEFER 2ème bureau;"972";"377";"1";"377";"7";"6";"364";"69";"88";"207";"18,95604396";TAILLEFER 2ème bureau;"18.96";"18.96";18.96
 3043 - TAILLEFER 3ème bureau;"773";"331";"8";"331";"13";"2";"316";"89";"64";"163";"28,16455696";TAILLEFER 3ème bureau;"28.16";"28.16";28.16
 3031 - TEISSEIRE 1er bureau;"1077";"500";"2";"499";"11";"6";"482";"65";"132";"285";"13,48547718";TEISSEIRE 1er bureau;"13.49";"13.49";13.49
 3032 - TEISSEIRE 2ème bureau;"920";"350";"3";"350";"12";"5";"333";"69";"58";"206";"20,72072072";TEISSEIRE 2ème bureau;"20.72";"20.72";20.72
 2061 - VIEUX TEMPLE;"1253";"656";"20";"656";"9";"8";"639";"36";"141";"462";"5,633802817";VIEUX TEMPLE 1er bureau;"5.63";"5.63";5.63
 2062 - VIEUX TEMPLE 2ème bureau;"992";"604";"25";"604";"9";"9";"586";"55";"203";"328";"9,385665529";VIEUX TEMPLE 2ème bureau;"9.39";"9.39";9.39
 2063 - VIEUX TEMPLE 3ème bureau;"834";"535";"16";"535";"8";"2";"525";"57";"194";"274";"10,85714286";VIEUX TEMPLE 3ème bureau;"10.86";"10.86";10.86
 4061 - VIGNY MUSSET 1er bureau;"1126";"547";"5";"547";"13";"6";"528";"108";"117";"303";"20,45454545";VIGNY MUSSET 1er bureau;"20.45";"20.45";20.45
 4091 - VILLAGE OLYMPIQUE 1er bureau;"815";"312";"3";"312";"6";"2";"304";"45";"60";"199";"14,80263158";VILLAGE OLYMPIQUE 1er bureau;"14.80";"14.80";14.80
 4092 - VILLAGE OLYMPIQUE 2ème bureau;"968";"345";"8";"345";"7";"5";"333";"48";"86";"199";"14,41441441";VILLAGE OLYMPIQUE 2ème bureau;"14.41";"14.41";14.41
 4093 - VILLAGE OLYMPIQUE 3ème bureau;"720";"349";"5";"349";"4";"2";"343";"62";"87";"194";"18,07580175";﻿VIGNY MUSSET 2ème bureau;"18.08";"18.08";18.08
