imb_id;imb_longitude;imb_latitude;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
3901035;635803.6456086637;5650017.553750569;IMB/38185/S/03UR;38185;42;fo;imm;38185_0050_00093;;93;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
3916907;635755.1546531515;5650208.765059679;IMB/38185/C/03UX;38185;15;fo;imm;38185_0050_00104;;104;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4206038;635785.9988571545;5650267.164471179;IMB/38185/S/03VM;38185;2;fo;pav;38185_0050_00096_bis;;96;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4208440;635880.0046752329;5650940.008078811;IMB/38185/C/03TW;38185;15;fo;imm;38185_0050_00046;;46;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4428842;635808.2253389148;5650455.33190995;IMB/38185/C/03UI;38185;6;fo;imm;38185_0050_00082;;82;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4634204;635896.0446027842;5651314.76493776;IMB/38185/C/03V5;38185;4;fo;imm;38185_0050_00016_b;;16;b;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4739859;635828.815050438;5650241.143826974;IMB/38185/C/03UH;38185;22;fo;imm;38185_0050_00081;;81;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4824598;635868.4710822813;5650637.5965372855;IMB/38185/C/03TY;38185;3;fo;imm;38185_0050_00051;;51;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4899524;635758.7304511243;5650292.506878262;IMB/38185/S/03UT;38185;1;fo;pav;38185_0050_00096;;96;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
4938752;635861.0524093641;5650828.472880179;IMB/38185/C/03U1;38185;6;fo;imm;38185_0050_00056;;56;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
5031020;635775.0030858446;5650341.576788147;IMB/38185/C/03VL;38185;25;fo;imm;38185_0050_00094_bis;;94;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
5456079;635795.6645674836;5650360.600362965;IMB/38185/C/03UQ;38185;7;fo;imm;38185_0050_00092;;92;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
5695937;635808.6360056577;5650497.977047573;IMB/38185/C/03UE;38185;10;fo;imm;38185_0050_00078;;78;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6003400;635944.9333703107;5651463.398279826;IMB/38185/C/03T9;38185;18;fo;imm;38185_0050_00006;;6;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6005814;635899.1688881639;5650858.122889098;IMB/38185/C/03TT;38185;4;fo;pav;38185_0050_00041;;41;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6059057;635801.6622057882;5650401.572646177;IMB/38185/S/03UM;38185;7;fo;imm;38185_0050_00088;;88;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6208975;635925.519686189;5651307.800245269;IMB/38185/C/03TH;38185;12;fo;imm;38185_0050_00018;;18;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6211307;635905.2273669977;5651165.042527395;IMB/38185/C/03V6;38185;2;fo;pav;38185_0050_00022_bis;;22;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
6363830;635809.187099618;5650478.037076138;IMB/38185/S/03UG;38185;1;fo;pav;38185_0050_00080;;80;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
7393345;635863.3822389751;5650849.708852093;IMB/38185/C/03VC;38185;1;fo;imm;38185_0050_00054_bis;;54;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
7646991;635830.6319378541;5650415.97001081;IMB/38185/C/07MV;38185;40;fo;imm;38185_0050_00063;;63;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
7719520;635860.4386844302;5650814.278461947;IMB/38185/S/03VD;38185;1;fo;pav;38185_0050_00056_bis;;56;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
7955890;635934.1103861766;5650978.911565502;IMB/38185/C/03TM;38185;24;fo;imm;38185_0050_00031;;31;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
8058916;635846.6973080701;5650757.989707952;IMB/38185/C/03VE;38185;4;fo;imm;38185_0050_00060_bis;;60;bis;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
8539575;635755.1734852102;5650275.597420646;IMB/38185/S/03UU;38185;8;fo;imm;38185_0050_00098;;98;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
8676359;635908.7990776912;5651149.237533958;IMB/38185/C/03TK;38185;11;fo;imm;38185_0050_00024;;24;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
8882590;635946.5564243457;5650938.567147144;IMB/38185/C/03TN;38185;9;fo;imm;38185_0050_00033;;33;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
8996217;635899.4470771129;5650987.990242479;ID-38185000001U;38185;57;fo;imm;38185_0050_00038;;38;;Rue Abbé Grégoire;NA;38185;Grenoble;38185_0050;ban
388483;637896.5662339642;5652149.905140141;IMB/38185/C/012G;38185;11;fo;imm;38185_0080_00005;;5;;Rue Abel Servien;NA;38185;Grenoble;38185_0080;ban
5902518;637859.4120314918;5652110.263294429;IMB/38185/C/012K;38185;4;fo;imm;38185_0080_00015;;15;;Rue Abel Servien;NA;38185;Grenoble;38185_0080;ban
6162099;637868.337652568;5652119.830548;IMB/38185/C/012I;38185;5;fo;imm;38185_0080_00011;;11;;Rue Abel Servien;NA;38185;Grenoble;38185_0080;ban
247999;635605.9614250001;5651756.77053377;IMB/38185/C/03VU;38185;50;fo;imm;38185_0120_00009;;9;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
863665;635488.5053319196;5651694.9818437705;IMB/38185/C/03VT;38185;10;fo;imm;38185_0120_00008;;8;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
3488953;635581.9752642334;5651759.219077949;IMB/38185/C/03VS;38185;116;fo;imm;38185_0120_00007;;7;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
4359386;635493.1490126665;5651737.444454941;IMB/38185/C/03VQ;38185;10;fo;imm;38185_0120_00004;;4;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
5491356;635469.9506959324;5651758.366213067;IMB/38185/S/03VV;38185;1;fo;pav;38185_0120_00002_bis;;2;bis;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
6621692;635479.6136363518;5651752.255615091;IMB/38185/C/03VO;38185;10;fo;pav;38185_0120_00002;;2;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
