,imb_id,rank,addr_code_x,imb_code_x,code_techno,classe_debit_montant,classe_debit_descendant,imb_longitude,imb_latitude,imb_code_y,imb_code_insee,imb_nbr_logloc,imb_source,imb_type,addr_code_y,imb_num,addr_numero,addr_rep,addr_nom_voie,addr_nom_ld,addr_code_insee,addr_nom_commune,addr_id_fantoir,addr_source,debit_Mbits
840375,4770672,7.0,38185_5770_00008,IMB/38185/C/06VW,FO,THD100,THD1G,638436.1582493209,5649245.341894312,IMB/38185/C/06VW,38185,14,fo,imm,38185_5770_00008,,8.0,,Rue Ponsard,,38185,Grenoble,38185_5770,ban,1000.0
840377,4770691,7.0,38185_3520_00003_bis,IMB/38185/S/04UV,FO,THD100,THD1G,635581.2770632954,5649060.247430184,IMB/38185/S/04UV,38185,2,fo,pav,38185_3520_00003_bis,,3.0,bis,Rue Henri Dunant,,38185,Grenoble,38185_3520,ban,1000.0
840381,4770705,7.0,38185_6150_00010,IMB/38185/S/062G,COAX,THD30,THD1G,638957.1786519509,5653075.3681067685,IMB/38185/S/062G,38185,49,fo,imm,38185_6150_00010,,10.0,,Place du Saint Eynard,,38185,Grenoble,38185_6150,ban,1000.0
840383,4770708,7.0,38185_1370_00027_b,IMB/38185/C/02A8,COAX,THD30,THD1G,635217.6878544568,5649737.073227255,IMB/38185/C/02A8,38185,0,fo,imm,38185_1370_00027_b,,27.0,b,Rue des Champs Elysées,,38185,Grenoble,38185_1370,ban,1000.0
840415,4770848,7.0,38185_6950_00056,IMB/38185/X/02OV,FO,THD100,THD1G,639769.4779923923,5649535.737306972,IMB/38185/X/02OV,38185,17,fo,imm,38185_6950_00056,le prelude,56.0,,Avenue Washington,,38185,Grenoble,38185_6950,ban,1000.0
840425,4770944,7.0,38185_6430_00202,IMB/38185/C/01VA,FO,THD100,THD1G,637158.1031377405,5647567.650862757,IMB/38185/C/01VA,38185,14,fo,imm,38185_6430_00202,gr 584 musset,202.0,,Rue de Stalingrad,,38185,Grenoble,38185_6430,ban,1000.0
840432,4770984,7.0,38185_4810_00009,IMB/38185/C/011E,FO,THD100,THD1G,637867.779296881,5650362.044710745,IMB/38185/C/011E,38185,22,fo,imm,38185_4810_00009,,9.0,,Boulevard Maréchal Joffre,,38185,Grenoble,38185_4810,ban,1000.0
840439,4771029,7.0,38185_0140_00020,IMB/38185/C/02YX,FO,THD100,THD1G,637653.2142824209,5650908.890269241,IMB/38185/C/02YX,38185,28,fo,imm,38185_0140_00020,,20.0,,Boulevard Agutte Sembat,,38185,Grenoble,38185_0140,ban,1000.0
840440,4771030,7.0,38185_3140_00021,IMB/38185/C/00LJ,FO,THD100,THD1G,636802.44147959,5650240.35407762,IMB/38185/C/00LJ,38185,10,fo,imm,38185_3140_00021,,21.0,,Rue Général Rambaud,,38185,Grenoble,38185_3140,ban,1000.0
840445,4771063,7.0,38185_2390_00013,IMB/38185/C/06GP,COAX,THD30,THD1G,639191.8421245452,5650139.611350116,IMB/38185/C/06GP,38185,6,fo,imm,38185_2390_00013,,13.0,,Rue Edison,,38185,Grenoble,38185_2390,ban,1000.0
840451,4771086,7.0,38185_5387_00013,IMB/38185/C/03BG,COAX,THD30,THD1G,636582.9908069005,5649354.0245926725,IMB/38185/C/03BG,38185,24,fo,imm,38185_5387_00013,,13.0,,Allée du Parc Georges Pompidou,,38185,Grenoble,38185_5387,ban,1000.0
840479,4771192,7.0,38185_3960_00011,IMB/38185/C/04XA,FO,THD100,THD1G,636011.7966489237,5649351.663654192,IMB/38185/C/04XA,38185,20,fo,imm,38185_3960_00011,villa st martin,11.0,,Rue Joseph Bouchayer,,38185,Grenoble,38185_3960,ban,1000.0
840480,4771195,7.0,38185_3430_00060,IMB/38185/C/04TU,COAX,THD30,THD1G,635408.0165108127,5649448.770419306,IMB/38185/C/04TU,38185,12,fo,imm,38185_3430_00060,,60.0,,Rue Guynemer,,38185,Grenoble,38185_3430,ban,1000.0
840493,4771267,7.0,38185_6160_00018,IMB/38185/C/01L6,COAX,THD30,THD1G,639024.7962147701,5651817.897996776,IMB/38185/C/01L6,38185,12,fo,imm,38185_6160_00018,,18.0,,Rue Saint Ferjus,,38185,Grenoble,38185_6160,ban,1000.0
